iter	Passed	Remaining
0	120	120263
1	123	61523
2	126	42035
3	130	32481
4	133	26655
5	137	22729
6	140	19959
7	144	17897
8	147	16253
9	151	14950
10	153	13830
11	156	12858
12	158	12018
13	159	11265
14	161	10625
15	163	10060
16	164	9531
17	165	9026
18	166	8571
19	166	8166
20	167	7796
21	167	7459
22	168	7152
23	168	6870
24	169	6611
25	170	6372
26	170	6150
27	171	5946
28	172	5760
29	172	5582
30	173	5414
31	173	5255
32	174	5108
33	174	4969
34	175	4839
35	176	4715
36	176	4597
37	177	4486
38	177	4381
39	178	4280
40	178	4184
41	179	4096
42	180	4011
43	180	3928
44	181	3848
45	181	3772
46	182	3700
47	183	3630
48	183	3564
49	184	3500
50	184	3438
51	185	3379
52	185	3322
53	186	3267
54	187	3216
55	187	3165
56	188	3116
57	188	3067
58	189	3022
59	190	2977
60	190	2934
61	191	2892
62	191	2851
63	192	2812
64	192	2774
65	193	2737
66	194	2702
67	194	2667
68	195	2633
69	195	2601
70	196	2569
71	196	2537
72	197	2507
73	198	2478
74	198	2449
75	199	2421
76	199	2394
77	200	2367
78	200	2342
79	201	2317
80	202	2294
81	202	2271
82	203	2245
83	203	2222
84	204	2199
85	204	2178
86	205	2156
87	206	2135
88	206	2115
89	207	2095
90	207	2075
91	208	2056
92	208	2037
93	209	2019
94	210	2001
95	210	1983
96	211	1965
97	211	1949
98	212	1932
99	212	1916
100	213	1899
101	214	1884
102	214	1868
103	215	1853
104	215	1839
105	216	1824
106	216	1810
107	217	1798
108	218	1784
109	218	1771
110	219	1757
111	220	1744
112	220	1731
113	221	1718
114	221	1706
115	222	1693
116	222	1680
117	223	1668
118	223	1657
119	224	1645
120	224	1634
121	225	1622
122	226	1611
123	226	1601
124	227	1590
125	227	1579
126	228	1568
127	228	1558
128	229	1548
129	229	1538
130	230	1529
131	231	1519
132	231	1509
133	232	1500
134	232	1492
135	233	1483
136	234	1474
137	234	1465
138	235	1456
139	235	1447
140	236	1439
141	236	1429
142	237	1421
143	237	1413
144	238	1405
145	238	1397
146	239	1389
147	239	1381
148	240	1373
149	241	1366
150	241	1358
151	242	1351
152	242	1344
153	243	1337
154	243	1330
155	244	1323
156	245	1316
157	245	1309
158	246	1302
159	246	1296
160	247	1288
161	248	1282
162	248	1276
163	249	1270
164	249	1263
165	250	1257
166	250	1251
167	251	1245
168	252	1239
169	252	1233
170	253	1227
171	253	1221
172	254	1215
173	254	1210
174	255	1204
175	256	1198
176	256	1193
177	257	1187
178	257	1182
179	258	1176
180	258	1171
181	259	1166
182	260	1160
183	260	1155
184	261	1150
185	261	1145
186	262	1140
187	262	1135
188	263	1130
189	264	1126
190	264	1121
191	265	1117
192	266	1112
193	266	1108
194	267	1103
195	268	1099
196	268	1094
197	269	1090
198	269	1085
199	270	1081
200	270	1076
201	271	1072
202	272	1068
203	272	1063
204	273	1059
205	273	1055
206	274	1051
207	274	1046
208	275	1042
209	276	1038
210	276	1034
211	277	1030
212	277	1026
213	278	1022
214	279	1018
215	279	1014
216	280	1011
217	280	1007
218	281	1003
219	281	999
220	282	995
221	283	991
222	283	988
223	284	984
224	284	980
225	285	976
226	285	973
227	286	969
228	286	966
229	287	962
230	288	959
231	288	955
232	289	952
233	289	948
234	290	945
235	291	942
236	291	938
237	292	935
238	292	932
239	293	929
240	294	926
241	294	922
242	295	919
243	295	916
244	296	913
245	296	910
246	297	906
247	298	903
248	298	900
249	299	897
250	299	894
251	300	891
252	300	888
253	301	885
254	302	882
255	302	879
256	303	876
257	303	874
258	304	871
259	305	868
260	305	865
261	306	862
262	306	859
263	307	856
264	307	854
265	308	851
266	309	849
267	309	846
268	310	843
269	311	841
270	311	838
271	312	835
272	312	832
273	313	830
274	313	827
275	314	825
276	315	822
277	315	819
278	316	817
279	316	814
280	317	812
281	318	809
282	318	807
283	319	804
284	319	801
285	320	799
286	320	796
287	321	794
288	321	792
289	322	789
290	323	787
291	323	785
292	324	783
293	325	781
294	325	778
295	326	776
296	327	774
297	327	771
298	328	769
299	328	767
300	329	764
301	329	762
302	330	760
303	331	758
304	331	755
305	332	753
306	332	751
307	333	748
308	333	746
309	334	744
310	335	742
311	335	740
312	336	737
313	336	735
314	337	733
315	337	731
316	338	729
317	339	727
318	339	725
319	340	723
320	341	721
321	341	719
322	342	717
323	342	715
324	343	713
325	344	711
326	344	709
327	345	707
328	345	705
329	346	703
330	347	701
331	347	699
332	348	697
333	348	695
334	349	693
335	349	691
336	350	689
337	350	687
338	351	685
339	352	683
340	352	681
341	353	679
342	354	678
343	354	676
344	355	674
345	356	673
346	356	671
347	357	669
348	357	667
349	358	665
350	359	663
351	359	662
352	360	660
353	360	658
354	361	656
355	361	654
356	362	652
357	363	651
358	363	649
359	364	647
360	364	645
361	365	644
362	365	642
363	366	640
364	367	638
365	367	637
366	368	635
367	368	633
368	369	632
369	370	630
370	370	628
371	371	626
372	371	625
373	372	623
374	373	621
375	373	620
376	374	618
377	374	616
378	375	615
379	376	613
380	376	612
381	377	610
382	377	608
383	378	607
384	378	605
385	379	603
386	380	602
387	380	600
388	381	598
389	381	597
390	382	595
391	382	593
392	383	592
393	384	590
394	384	589
395	385	587
396	386	586
397	386	584
398	387	583
399	387	581
400	388	580
401	388	578
402	389	576
403	390	575
404	390	573
405	391	572
406	391	570
407	392	569
408	392	567
409	393	566
410	394	564
411	394	563
412	395	561
413	395	560
414	396	558
415	396	556
416	397	555
417	397	554
418	398	552
419	399	551
420	399	549
421	400	548
422	400	546
423	401	545
424	402	544
425	402	542
426	403	541
427	403	539
428	404	538
429	404	536
430	405	535
431	406	533
432	406	532
433	407	531
434	407	529
435	408	528
436	408	526
437	409	525
438	410	523
439	410	522
440	411	521
441	411	519
442	412	518
443	412	517
444	413	515
445	414	514
446	414	513
447	415	511
448	416	510
449	416	509
450	417	507
451	417	506
452	418	505
453	419	504
454	419	502
455	420	501
456	421	500
457	421	499
458	422	497
459	422	496
460	423	495
461	424	493
462	424	492
463	425	491
464	425	489
465	426	488
466	426	487
467	427	486
468	428	484
469	428	483
470	429	482
471	429	480
472	430	479
473	431	478
474	431	477
475	432	475
476	432	474
477	433	473
478	433	472
479	434	470
480	435	469
481	435	468
482	436	467
483	436	465
484	437	464
485	438	463
486	438	462
487	439	460
488	439	459
489	440	458
490	440	457
491	441	455
492	442	454
493	442	453
494	443	452
495	443	450
496	444	449
497	444	448
498	445	447
499	446	446
500	446	445
501	447	444
502	448	442
503	448	441
504	449	440
505	450	439
506	450	438
507	451	436
508	451	435
509	452	434
510	453	433
511	453	432
512	454	431
513	454	430
514	455	429
515	456	427
516	456	426
517	457	425
518	457	424
519	458	423
520	458	421
521	459	420
522	460	419
523	460	418
524	461	417
525	461	416
526	462	415
527	463	413
528	463	412
529	464	411
530	464	410
531	465	409
532	465	408
533	466	407
534	466	405
535	467	404
536	468	403
537	468	402
538	469	401
539	469	400
540	470	399
541	471	398
542	471	397
543	472	395
544	472	394
545	473	393
546	474	392
547	474	391
548	475	390
549	475	389
550	476	388
551	477	387
552	477	386
553	478	385
554	478	383
555	479	382
556	480	381
557	480	380
558	481	379
559	481	378
560	482	377
561	482	376
562	483	375
563	484	374
564	484	373
565	485	372
566	485	370
567	486	369
568	486	368
569	487	367
570	487	366
571	488	365
572	489	364
573	489	363
574	490	362
575	490	361
576	491	360
577	492	359
578	492	358
579	493	357
580	494	356
581	494	355
582	495	354
583	495	353
584	496	352
585	496	351
586	497	350
587	498	349
588	498	348
589	499	347
590	499	346
591	500	344
592	501	343
593	501	342
594	502	341
595	502	340
596	503	339
597	503	338
598	504	337
599	505	336
600	505	335
601	506	334
602	506	333
603	507	332
604	508	331
605	508	330
606	509	329
607	509	328
608	510	327
609	511	326
610	511	325
611	512	324
612	512	323
613	513	322
614	513	321
615	514	320
616	514	319
617	515	318
618	516	317
619	516	316
620	517	315
621	518	314
622	518	313
623	519	312
624	519	311
625	520	310
626	521	309
627	521	309
628	522	308
629	523	307
630	523	306
631	524	305
632	524	304
633	525	303
634	526	302
635	526	301
636	527	300
637	528	299
638	528	298
639	529	297
640	529	296
641	530	295
642	530	294
643	531	293
644	532	292
645	532	291
646	533	291
647	534	290
648	534	289
649	535	288
650	535	287
651	536	286
652	537	285
653	537	284
654	538	283
655	539	282
656	539	281
657	540	280
658	540	279
659	541	279
660	542	278
661	543	277
662	543	276
663	544	275
664	545	274
665	545	273
666	546	272
